Banglalibrary Research Organisation,"1/47, Rakhal Ghosh Lane",Kolkata,banglalibrary.org@gmail.com,NOT AVAILABLE,98311 93298,033-23353176,"Art And Craft, Art And Culture, Child Rights, Child Welfare, Cultural Heritage, Distance Learning, E-Governance, E-Learning, Education, Environment, Health, Herbal Medicine, Human Rights, Indigenous Knowledge, Information And Communications Technology, Legal Awareness, Library, Media, Mentally Handicapped Persons, Old Aged Welfare, Rural Development, Self Help Groups, Sex Workers Welfare, Tribal Development, Urban Development, Water, Women Development/Welfare."
Bani Mandir,"Khordanahala, Sadhurhat",South 24 Parganas,banimandir@vsnl.net,"91-3174-244291, 91-3174-244290",,NOT AVAILABLE,"Aged, Agriculture, Art and culture, Child welfare, Education, Employment, Environment, Health, Micro-enterprises, Rural Development, Sanitation, Sustainable Development, Training, Water"
Bamunia New Agradyut Sangha for Social Works,"Baminia, Jukhia Bazar, Bhupati Nagar",Purba Medinipur,dsahoo_bckv007@rediffmail.com,,"91-94338 90081, 91-98369 60915",NOT AVAILABLE,
Bankura Commiun Youth Club and Footbal Coaching Centre,Pranabanandapally,Bankura,bcycfcc@gmail.com,NOT AVAILABLE,99328 27679,,"Adolescent Girls Welfare, Anti Drug Campaign, Awareness Generation, Cancer Patients Help, Child Labour, Child Rights, Child Welfare, Climate Change, Community Development, Consumer Issues, Corporate Social Responsibility, Cow Protection Centre (Goushala), Cultural Heritage. , Cultural Issues, Development (General), Disadvantaged Communities, Disaster Management, E-Learning, Education, Food and Nutrition, Gender, General – Social Welfare, Health, Human Development, Human Rights, Labour, Library."
Bangiya Unnayan Parishad,"29, Valley Park",Kolkata,,91-33-24628159,,NOT AVAILABLE,Development(General)
Bankura Mahila Samiti,"77, Rasubabus Lane, Chawk Bazar",Bankura,bms_1961@yahoo.com,91-324-2252393,"91-92331 67232, 91-97351 33818",NOT AVAILABLE,
Ballygange Help Society,"297, BBC Road",Kolkata,roybiswajitbardhan@yahoo.co.in,,91-98361 07584,NOT AVAILABLE,
Bansdroni Mother’s Charitable Society,"D 10, Aurobindo Park",Kolkata,bmc2004@rediffmail.com,91-33-24314596,,NOT AVAILABLE,"To help the needy, aged & homeless."
Bankura Agri-Welfare Society,"Kalisen, Bankura",Kolkata,uday_rmp@rediffmail.com,91-324-2265340,91-97347 62563,NOT AVAILABLE,Agricultural uplifment.
Baragarh Hitaishee Sangha,"Baragarh, Debra Bazar",Paschim Medinipur,,,91-99329 78429,NOT AVAILABLE,
Baragari New Life,"Barikul, Fulkusma",Bankura,baragarinewlife@yahoo.com,,91-94745 62201,NOT AVAILABLE,For any.
Bakkeshwar Nabin Sangha,"Bakkeshwar, Amra, Dadpur",Hooghly,bnsmdj.wb@gmail.com,NOT AVAILABLE,96479 77466,,"Agriculture, Child Welfare, Cultural Issues, Development (General), Environment, Forestry, General – Social Welfare, Human Development, Human Rights, Library, Medical Relief, Minorities, Plantation, Rural Development, Volunteers, Women Development/Welfare, Youth."
Barasat Anweshan,Harpara,North 24 Parganas,barasatanweshan@rediffmail.com,NOT AVAILABLE,98744 94128,033-25426137,"Awareness Generation, Child Labour, Child Rights, Child Welfare, Education, Environment, General – Social Welfare, Group Promotion, Hiv/Aids, Library, Old Aged Welfare, Orphanage, Social Awareness, Women Development/Welfare, Children."
Bansra Birangana Seva Samity,Canning Town,South 24 Parganas,birangana.can@gmail.com,NOT AVAILABLE,89066 47707,,"Awareness Generation, Child Labour, Child Rights, Human Rights, Livelihood, Plantation, Social Awareness, Trafficking Of Women, Women Development/Welfare."
Barasat Swabalambi Protibandhi Sangathan,"Nabapally, Barasat",Barasat,swabalambi2008@gmail.com,,91-98307 28002,NOT AVAILABLE,
Barasat Unnayan Prostuti,"Basundhara, Barasat",Barasat,anchitmallik@hotmail.com,"91-33-25421334, 91-33-28443333",,NOT AVAILABLE,"Disadvantaged communities, Rural Development"
Barnamala Educatinal & Cultural Society,"Puratan Bazar, Kaushllya",East Medinipur,secretary@becs.org.in,91-3222-258426,91-94334 17122,NOT AVAILABLE,Bringing about social change through educational and health reconstruction.
Bardeuli Smart Dream Welfare Society,"South Ramkrishnapur, Sukdevpur, Bishnupur",South 24 Parganas,bulukunti@yahoo.in,NOT AVAILABLE,91639 36178,,"Cow Protection Centre (Goushala), Education, Health, Human Development, Medical Relief, Old Aged Welfare, Orphanage, Peace, Pollution, Rural Development, Self Help Groups, Water If Ngo Has More Or Different Purposes As Given Above Then Write Here."
Barrackpore Social Welfare Society,"C-1, 3rd Floor, Anandalok Apartment, 39/1, Old Calcutta Road, Talpukur, Barrackpore",Barrackpore,bswsngosociety.mail@gmail.com,NOT AVAILABLE,90072 75729,,"Art And Craft, Art And Culture, Awareness Generation, Education, Employment, General – Social Welfare, Group Promotion, Human Development, Livelihood, Old Aged Welfare, Orphanage, Poverty, Rural Development, Self Help Groups, Social Awareness, Sustainable Development, Training, Women Development/Welfare."
Barrackpotr Gourav Welfare Society,"Rabindrapally, Nonachandanpukur",Kolkata,bgws_2002@yahoo.co.in,,,NOT AVAILABLE,Children development project.
Basf – Burdwan Aanisa Social Foundation,Galsi,Burdwan,basf.bwn@gmail.com,NOT AVAILABLE,94764 86820,,"Agriculture, Education, Food And Nutrition, Health, Minorities, Rural Development, Sanitation."
Barddhaman Yuva Computer Saksharata Mission,"Goda, Kajirhat, Lakurdi",Burdwan,giscomp2009@yahoo.co.in,,"91-93329 63465, 91-97323 67995",NOT AVAILABLE,Education
Barasat Sevangan Community Health Service Centre,"A-Para, Krishnanagar Road, Barasat",Kolkata,anjan_bt@yahoo.co.in,,91-93318 47240,NOT AVAILABLE,Health community hospital
Bastion,"Tribeni, Hooghly",Hooghly,bastion.ehe@gmail.com,91-332-6842418,,NOT AVAILABLE,
Bashirhat Family Planning Welfare Centre,"Bashirhat College, North 24 Parganas",North 24 Parganas,bfpwc@sify.com,,"91-93337 11930, 91-97340 48304",NOT AVAILABLE,Sustainable community based integrated development
BBA – Bethuadahari Bhorer Alo,"Sovona Market, Cinema Hall Road",Nadia,bethuadaharibhoreralo@yahoomail.com,,91-94330 69980,NOT AVAILABLE,
Bediapara Ambedkar Mission,"451, Bediapara Lane",Kolkata,ambedkarmission@yahoo.co.in,91-33-28720195,91-98316 16844,NOT AVAILABLE,
Belda Society To Promote Awareness and Concern for Environment (SPACE),"Susinda, Paschim Medinipur",Belda,space.belda12@gmail.com,NOT AVAILABLE,94761 12876,03229-255042,Social Work
Belgharia Preparation Society,"1/39/2, Ramkrishna Mission Road, 2nd Floor, Belgharia",South 24 Parganas,preparationiasacademy@gmail.com,NOT AVAILABLE,"98309 91008, 90516 24214",,"Animal Welfare, Art and Craft, Awareness Generation, Child Labour, Child Rights, Child Welfare, Community Development, Distance Learning, Education, General – Social Welfare, Minorities, Tribal Development, Women Development/Welfare, Women’S Issues, Youth."
Basapara Jnyanpith Mission,"Basapara, Bolpur",Birbhum,basaparajnyanpith@gmail.com,NOT AVAILABLE,93782 08580,0346-3246340,Social Work.
Basirhat Binapani Development Society,"Basirhat Zilla Parisad Super Market, Basirhat",North 24 Parganas,debanjan.kundu@hotmail.com,,91-92326 86806,NOT AVAILABLE,To serve the distressed people in all the way.
Bansdroni Anuvab of Social Aid,"103, Prafulla Nagar, Bansdroni",Kolkata,anuvabngo@yahoo.com,91-33-24318650,,NOT AVAILABLE,Social work
Bengal Health & Education Trust,"Udham Singh Sarani, Ashrampara, Siliguri",Darjeeling,bhetsiliguri@yahoo.com,,91-94340 52303,NOT AVAILABLE,is to work togather with vision 2020
Behala Mother Welfare Society,"18, S.N. Chatterjee Road",South 24 Pargonas,behalamotherwelfaresociety@rediffmail.com,NOT AVAILABLE,"90511 71631, 98313 69613",,"Adolescent Girls Welfare, Art And Craft, Awareness Generation, Child Labour, Child Rights, Child Welfare, Community Development, Disadvantaged Communities, Education, Library, Medical Relief, Old Aged Welfare, Orphanage, Plantation, Rural Development, Self Help Groups, Shelter Home, Women Development/Welfare, Yoga. To Help Our Society."
Bengal Service Society,"16/A, Broad Street",Kolkata,p_kanungo@vsnl.net,91-33-22814557,,NOT AVAILABLE,"Aged, Child welfare"
Berhampore Society for Information,"30, Pilkhana Road, Berhampore",Communication & Technology,bsict@indiatimes.com,,91-94340 65888,NOT AVAILABLE,
Bengal Ascent Society For Education,"Dharsa Kaji Para, Near Lily Bakery, Howrah, Old Nimta Road, Belgharia",Kolkata,basewb2007@gmail.com,NOT AVAILABLE,90380 40010,,"Art And Craft, Art And Culture, Ayurveda, Child Labour, Child Rights, Child Welfare, E-Learning, Economics And Finance, Human Development, Human Rights, Library, Ngo Management, Rural Development, Training, Women Development/Welfare, Yoga, Youth."
Best Friendz Society,"12-01-2009, Manohar Pukur Road",Kolkata,bestfriendz.kol@gmail.com,91-33-32944908,,NOT AVAILABLE,Help the poor girl child.
Bethuadahari Bhorer Alo,"Sovona Market, Cineme Hall Road, Bethuadahari",Nadia,bba11_06yahoo.co.in,,91-94330 69980,NOT AVAILABLE,To enlist our voluntary organisation
Bengal Asthaa,"21-Apr, D.B.C.R Road",Kolkatta,ritwickraju@gmail.com,91-33-24986154,91-90518 24159,NOT AVAILABLE,"Health, education, microfinance."
Bethuadahari Institute for Mother & Child Care,"Khidirpur, Madhya Para, Bethuadahari, Nakashipara",Nadia,bimcc13@gmail.com,NOT AVAILABLE,89615 85648,,"Adolescent Girls Welfare, Child Rights, Child Welfare, Community Development, Consumer Issues, General – Social Welfare, Human Development, Self Help Groups, Social Awareness, Trafficking Of Women, Women Development/Welfare."
Bess Crawford Seva Niketan,"2, Duke Raod",Howrah,saileshp4@gmail.com,,91-94331 55822,NOT AVAILABLE,Help the poor.
Bhanjapur Kishor Bharati Welfare Society,"Bhanjapur, Narayanbarh, Sabang",Paschim Medinipur,mpranab999@gmail.com,NOT AVAILABLE,97337 46428,,"Animal Health, Child Labour, Cow Protection Centre (Goushala), Health, Indigenous Knowledge, Self Help Groups, Training, Volunteers."
Bharat Jakat Santarh Pathua Gaunta,Paschim Medinipur,Paschim Medinipur,santarhpathuagaunta@gmail.com,,,NOT AVAILABLE,Work for the development of Santal society.
Beliatore Socio Economic Research & Caltural Development Society,Bankura,Bankura,pratidin24365@gmail.com,91-3241-259510,,NOT AVAILABLE,
Bethuadahari Nabo Diganta Welfare Society,"Karuna Market, Patuli Road, Bethuadahari",Bethuadahari,bndws2015@gmail.com,NOT AVAILABLE,"97490 01965, 98009 52401",,"Adolescent Girls Welfare, Agriculture, Animal Health, Animal Welfare, Child Labour, Child Rights, Child Welfare, Corporate Social Responsibility, Cultural Heritage. , Development (General), Disaster Management, Distance Learning, Employment, Energy, Environment, Food and Nutrition, General – Social Welfare, Infrastructure, Irrigation, Labour, Legal Awareness, Local Self Governance (Panchayati Raj)."
Bharatpur Socio Agriculture & Rural Developer Association,"Bharatpur, South 24 Parganas",Burdwan,niiscom08@gmail.com,,91-97321 70402,NOT AVAILABLE,
Bhabna Association for Peoples Upliftment,"Uttarparamore, Radharghat, Berhampore",Murshidabad,bapu.india@gmail.com,,91-94341 68179,NOT AVAILABLE,"We are working for child health, education and also working for antitrafficking of vulnerable communication."
Bhastara Christian Centre,"Bhastara, Gurap",Hooghly,bhastara_christian@yahoo.co.in,NOT AVAILABLE,94743 97744,,"Awareness Generation, Community Development, Disaster Management, Medical Relief, Old Aged Welfare, Orphanage, Poverty, Rural Development, Social Awareness, Training Church Planting."
BEST – Bengal Educational & Social Trust,"1, Nawab Badruddin Street",Kolkata,best.kol@gmail.com,,91-93391 05712,NOT AVAILABLE,Social & educational development.
BHUMIJA,"Dakbangla More, Barasat",Barasat,bhumijabarasat@gmail.com,"91-33-25522172, 91-32960968","91-97485 56986, 91-98300 91219",NOT AVAILABLE,"Education, health awareness, self employment and human rights."
Bibek Bikash Samaj Kalyan Kendra,"3/1-A, S.K.M.Lane",Kolkata,bibkbikash@ymail.com,,91-94333 24566,NOT AVAILABLE,
Bhupati Development Trust,"Dahatmul, Jhargram",Jhargram,bdtind@gmail.com,NOT AVAILABLE,90024 89776,,"Agriculture, Animal Health, Animal Welfare, Art And Craft, Art And Culture, Awareness Generation, Cancer Patients Help, Child Labour, Child Rights, Child Welfare, Climate Change, Community Development, Cultural Issues, Development (General), Distance Learning, E-Governance, E-Learning, Education, General – Social Welfare, Grants/Aids, Health, Human Development, Human Rights, Labour, Media, Micro-Enterprises, Minorities, Poverty, Society And Economy, Training, Tribal Development, Water, Women Development/Welfare, Youth."
Bidhannagar Residents Association,"Benoy Badal, Dinesh Bhawan",Durgapur,bra_drgapur@rediffmail.com,91-343-2536652,,NOT AVAILABLE,"Community and family welfare, disadvantaged communities, women’s issues."
Bhavishya Educational & Charitable Society,"8/2, B.L.16, Manickpeer",Kankinara,bhavishyaindia@rediffmail.com,91-332-5023096,91-98302 46571,NOT AVAILABLE,"Social, cultural & educational."
BIKASH – A Centre for Women & Child Development,"Kenduadihi, Bankura",Bankura,bikash12@rediffmail.com,91-3242-243199,,NOT AVAILABLE,Vocational training centre for persons with cerebral palsy and mental reta.
Bharosa Life,"13, Block-4, Shrachi Garden",Kolkata,bharosalife@gmail.com,91-33-25507057,"91-98317 22585, 91-94337 40437",NOT AVAILABLE,"Development, child welfare, womens welfare, effective sanitation in various wards under madhyamgram."
Bijoygunge Bharat Tirtham Seva Kendra,"Siddhiberia, Kulpi",South 24 Parganas,,,91-97326 86232,NOT AVAILABLE,Grant for society development.
Bhoruka Public Welfare Trust,"Amader Bari, 63, Rafi Ahmed Kidwai Road",Kolkata,bpwt@cal.vsnl.net.in,"91-33-22449619, 91-33-22261196",,NOT AVAILABLE,Health
Birati Om Kashinath Memorial Welfare Society,"Mahajati Nagar, Birati",Kolkata,bokmws@gmail.com,NOT AVAILABLE,97345 07759,,"Blindness, General – Social Welfare, Old Aged Welfare, Training."
Bikash Bharati Welfare Society (BBWS),"20/1b, Lalbazar Street",West Bengal,vikasbbws@gmail.com,NOT AVAILABLE,"98310 24847, 9128610362",033-22431787,"Advocacy On Social Issues, Awareness Generation, Child Labour, Child Rights, Child Welfare, Development (General), Disability, Environment, Governance, Health, Human Development, Indigenous Knowledge, Ngo Management, Rural Development, Sex Workers Welfare, Social Awareness, Traditional Health, Training, Tribal Development, Women Development/Welfare, Youth Running Drug Deaddiction Center, Orthopaedic Hospital And Physical Rehabilitation Center, Networking."
Birbhum Dishari Foundation,"Birbhum, Suri",Suri,birbhumdishari.foundation@gmail.com,91-3462-256422,91-98516 27640,NOT AVAILABLE,
Bikash Bharati Welfare Society,"20/1B, Lalbazar Street",Kolkata,bharati@cal3.vsnl.net.in,"91-33-22431787, 91-33-22207270",,NOT AVAILABLE,"Child welfare, Disability, Education, Rehabilitation, Training."
Birbhum Titli,"Sooripukur Para, Suri",Birbhum,birbhumtitli2005@yahoo.co.in,,91-94341 72268,NOT AVAILABLE,To work with children in need of care & protection.
Birbhumir Gramen Unnayan Society,"Sonatore Para, Madrasa Road, 1st Floor, H.T.Market",Birbhum,secretarybigus@gmail.com,NOT AVAILABLE,94341 72339,03462-254040,"Adolescent Girls Welfare, Agriculture, Awareness Generation, Child Labour, Climate Change, Community Development, Consumer Issues, Corporate Social Responsibility, Cow Protection Centre (Goushala), Cultural Heritage., Education, Employment, Energy, Environment, Food And Nutrition, Gender, Grants/Aids, Livelihood, Micro-Enterprises, Minorities, Poverty, Rural Development, Self Help Groups, Waste Management, Water, Women’S Issues."
Birbhum Thupsara Manab Unnayan Samiti,"Thupsara, Birbhum",Birbhum,jhumahazrabmup@gmail.com,91-346-3267232,91-94761 02550,NOT AVAILABLE,Health.
BIGUS – Birbhumir Grameen Unnayan Society,"Suri, Sonatore Para",Birbhum,bigus4d@gmail.com,91-3462-258506,,NOT AVAILABLE,"ICT for all, Programme support"
Bishwa Bandhan Foundation (INDIA) For Cerebral Palsy,"73, Tanupukur Road",Kolkata,contactus@bishwabandhanindia.com,NOT AVAILABLE,86973 43466,033-24126303,"Health, Human Development, Human Rights, Mentally Handicapped Persons, Rehabilitation."
Birbhum Jan Jagriti Foundation,"Ahmadpur, Daspara",Birbhum,birbhumjjfoundation@gmail.com,NOT AVAILABLE,94334 03463,03463-231212,"Awareness Generation, Child Welfare, Community Development, Development (General), Disadvantaged Communities, E-Governance, E-Learning, Employment, General – Social Welfare, Health, Hiv/Aids, Indigenous Knowledge, Information And Communications Technology, Livelihood, Minorities, Ngo Management, Old Aged Welfare, Poverty, Sanitation."
BKP Sun Foundation,Barrackpore,Barrackpore,bkpsunfoundation@in.com,,"91-98740 67112, 91-98740 76064",NOT AVAILABLE,Serving society.
Birlapur Pratibandhi Samity,Budge,South 24 Parganas,birlapurpratibandhisamity@gmail.com,NOT AVAILABLE,74391 93077,,"Disability, Education."
